amount,is_fraud,location,device_type,merchant_category,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction
440.67,0,34,0,1,1,0,6,49
3842.08,0,43,0,4,2,5,9,50
5751.29,0,24,0,1,1,4,8,57
106.71,0,54,0,2,2,1,5,44
3718.79,0,3,0,1,2,2,6,34
7745.02,0,21,0,0,1,3,11,39
6107.68,0,44,0,0,3,4,10,69
5027.32,0,21,0,4,1,0,9,38
82.43,0,50,0,3,1,0,1,23
1192.7,0,71,0,5,1,0,10,76
1493.67,0,67,0,0,1,3,6,19
1238.3,0,48,0,1,3,4,13,68
2169.28,0,35,0,0,1,3,5,20
1187.68,0,11,0,1,3,2,4,20
6452.15,0,32,0,4,2,3,12,86
7284.24,0,60,0,3,2,2,10,33
7801.99,1,37,0,2,2,19,28,0
5601.87,0,64,0,0,1,1,8,86
6357.45,0,64,0,3,1,4,9,98
1270.35,0,71,0,5,1,2,3,29
2557.22,0,24,0,5,2,1,10,94
648.15,0,11,0,0,3,5,15,78
9742.11,0,11,0,4,3,1,5,49
8444.65,0,60,0,0,2,1,1,11
7998.87,0,44,0,1,2,0,4,97
5593.56,0,3,0,2,1,2,4,60
3875.53,0,43,0,0,1,3,12,17
371.53,0,2,0,4,1,2,5,30
7038.76,0,53,0,2,1,3,12,68
1047.0,0,2,0,1,2,1,9,16
1355.52,0,46,0,1,2,3,4,26
923.32,0,50,0,3,3,5,11,82
6271.78,0,71,0,0,1,2,11,42
2155.45,0,60,0,5,1,1,8,66
2855.26,0,53,0,2,1,2,5,28
4652.57,1,25,1,2,10,8,11,10
8051.62,0,63,0,0,3,1,11,88
2097.57,0,41,0,5,3,4,11,58
7934.72,0,68,0,4,2,3,12,98
4444.51,0,60,0,4,2,5,15,23
9902.91,0,68,0,4,3,4,14,91
6574.41,0,50,0,1,3,3,9,49
3482.87,0,54,0,3,3,3,7,60
919.8,0,34,0,3,1,4,10,70
6322.1,0,60,0,1,1,1,11,85
5792.72,1,52,1,5,7,7,16,9
920.93,0,50,0,0,3,4,5,23
5496.76,0,41,0,3,2,4,14,58
531.0,0,64,0,3,3,3,3,83
1795.01,0,35,0,3,2,4,6,28
3814.85,0,2,0,0,2,4,14,75
4922.25,0,68,0,3,2,1,9,31
9743.28,0,24,0,5,1,1,2,81
2130.83,0,63,0,3,2,3,4,18
1812.84,0,60,0,2,2,2,4,44
7420.81,0,53,0,3,1,1,5,46
5223.3,0,48,0,4,1,4,11,27
4538.79,0,64,0,1,1,2,9,42
6731.8,0,64,0,5,2,2,6,94
1572.45,0,3,0,4,1,5,12,89
3783.11,0,3,0,4,1,1,3,61
8592.83,0,35,0,3,1,5,10,95
6157.25,0,34,0,0,2,4,10,85
9379.96,0,2,0,0,2,5,10,42
2316.51,0,50,0,2,2,5,13,71
4992.28,0,63,0,0,2,0,1,16
9294.82,0,41,0,2,2,0,0,66
6897.17,0,53,0,0,1,0,4,37
95.58,0,64,0,4,2,0,5,35
8369.38,0,60,0,4,2,1,6,43
3425.88,0,3,0,2,3,1,4,99
6931.87,0,2,0,1,1,5,12,96
2923.04,0,68,0,1,2,2,11,72
2774.66,0,34,0,3,2,0,2,65
5426.92,0,34,0,1,2,4,4,53
9896.13,0,48,0,4,2,5,11,35
3758.84,0,23,0,5,1,1,1,29
4422.45,0,44,0,1,1,5,7,15
5479.59,0,35,0,2,2,0,8,31
9965.61,0,4,0,3,1,0,5,57
7584.49,0,68,0,3,1,5,8,69
6257.81,0,4,0,0,3,0,0,43
2690.05,0,23,0,0,2,2,11,94
3994.48,0,11,0,0,3,4,14,99
6503.58,0,46,0,0,3,3,10,55
9967.63,0,44,0,2,3,1,4,95
37.16,0,34,0,1,1,1,5,97
1488.18,0,11,0,1,2,5,13,66
2810.8,0,23,0,3,1,3,12,63
2732.73,0,41,0,0,3,5,6,80
6238.85,0,11,0,2,3,5,12,62
7863.4,0,41,0,1,1,1,9,94
564.15,0,4,0,5,1,4,8,23
3118.19,0,63,0,0,1,5,9,21
9000.66,0,11,0,4,1,3,13,49
2146.23,0,34,0,4,1,2,9,36
143.23,0,64,0,0,2,1,7,87
320.85,0,3,0,4,2,1,5,55
26.09,0,12,0,5,3,0,4,80
5268.34,0,50,0,5,2,4,13,23
9156.66,0,23,0,0,3,2,5,77
9141.96,0,4,0,2,3,3,6,82
4722.55,0,42,0,5,1,5,13,35
2504.31,0,12,0,5,2,0,2,69
5653.66,0,71,0,4,2,3,3,68
2525.3,0,53,0,1,1,3,4,35
8422.76,0,32,0,1,1,3,5,18
3667.42,0,43,0,4,2,0,3,59
